	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
R01-025	44760049310	16148429240	-1245814.826	-1024	-834	32	520	-390.6363999	-413	772	1544	339.3019316	310.9358134	532.0375224	361.2023372	-0.01653032	1.281461595	130467.1284	58340779	95309.41565	57048.69817	11358.42963	0.119174266	0.88836145	0.044420499	0.701082477	1.125667937	218.267371	51.99599519	34.96904314	0.983925683	0.672533394
R01-027	601456620	458874984.7	-181925.8454	-1024	-97	126	809	9.553248173	33	98	1833	86.30759446	42.31824472	143.3281355	143.0094049	-2.672888386	13.88290452	20451.68989	3073874	32864.76135	22337.34131	5588.665688	0.170050396	0.887829658	0.044380618	0.699824184	1.126342188	152.2696134	38.04412317	29.69099509	0.84620779	0.780435784
R01-028	1480098036	1366362475	-195919.4358	-1024	-301	107	453	-38.09053782	24	100	1477	134.6383239	54.22557576	215.6320333	212.2411004	-2.512553125	9.665009609	45046.28472	3605016	37034.27887	29385.92529	5897.556429	0.159245883	0.911062032	0.046133967	0.756212486	1.097620102	156.0218647	41.78881254	31.22199064	0.78245404	0.747137541
R01-029	17757253908	18387281675	-1161699.395	-1024	-729	72	1535	-160.8375221	-10	317	2559	251.5611569	169.4625437	347.8673309	308.4525431	-1.289704579	3.252817687	95142.97137	59847316	258654.7819	151946.3289	21535.46152	0.083259476	0.911612523	0.046175786	0.757584093	1.096957287	292.736931	92.21266339	48.73461835	0.596854601	0.528502448
R01-030	782678086	699727499.6	-7973.064047	-1024	-767.7	98	493	-300.8501529	-270	581.25	1517	290.2761801	235.6057361	446.6086063	330.0733747	-0.224277757	1.829277214	108948.4327	18560	5133.59443	3508.12258	1548.278226	0.301597301	0.929500202	0.047541525	0.80306087	1.075846996	73.98375982	21.13842909	16.09827152	0.848035859	0.761564232
R01-031	552003819	421145491.8	-20801.72719	-1024	-530	134	392	-99.38962057	3	258	1416	210.0042168	125.5878421	294.1905944	276.8931367	-1.534173196	4.775998065	76669.80916	87982	10606.63859	4866.027832	3025.24026	0.285221395	0.771689813	0.035963589	0.459545271	1.295857459	127.3781587	26.95612475	16.56672868	0.712142014	0.614581244
R01-032	38103601061	23547299850	-787300.5355	-1024	-984	140	2326	-372.389924	-347	798	3350	391.1598487	327.2201466	575.8505257	439.2374898	0.118028662	2.413686326	192929.5725	88626563	131593.38	71010.33783	14510.03293	0.110264156	0.86226036	0.042477261	0.64108448	1.159742517	242.9482005	79.60327518	31.40660189	0.647541427	0.394539067
R01-033	1189239192	1048519352	-16674.09282	-1024	-770	97	465	-280.0240506	-207	574	1489	288.3700689	230.2843261	433.7865353	331.2963768	-0.408118788	1.969344015	109757.2893	45912	11167.85048	5572.169607	2765.997153	0.247674981	0.87353194	0.04331288	0.66655558	1.144777831	112.1059186	35.44974813	17.34465618	0.553909006	0.489274455
R01-034	7812660690	6571539799	-200892.7302	-1024	-794	115	599	-275.1726466	-184	604	1623	307.8245425	245.8992615	446.9865369	352.2456227	-0.434104357	1.980256695	124076.9787	1946513	73531.59748	32891.08839	10040.36874	0.136544956	0.845377067	0.041235814	0.604159192	1.182904101	194.4072271	64.68707257	25.11223496	0.714061399	0.388211028
R01-035	1406132009	1418771026	-58284.7571	-1024	-622	140	473	-124.2503011	-3	377	1497	239.1045811	168.4163055	315.6258798	290.1405843	-1.04250597	2.932586319	84181.55867	341475	19552.17911	14241.87265	3848.609987	0.196837906	0.911962541	0.046202383	0.758457063	1.096536267	127.2430603	32.86580997	22.62257308	0.921197825	0.688331524
R01-036	11840928348	14115472444	-2056024.365	-1024	-417	119	725	-39.98620492	34	112	1749	151.4577533	67.13198176	226.500095	222.9425855	-2.060820834	6.613641155	49703.39645	173064905	448163.9062	275143.1162	31144.58136	0.06949373	0.909339825	0.046003216	0.751932116	1.099698895	365.2658054	88.15828034	60.18102214	0.915510513	0.682647414
R01-037	2018217403	1539777682	-36889.83612	-1024	-791	84	599	-270.14581	-137	568	1623	298.0274933	236.5935715	434.4647023	340.2658062	-0.581957644	2.067329763	115780.8189	155108	14563.75122	8157.348633	4347.239295	0.298497223	0.66341621	0.028666719	0.291983451	1.507349361	145.2506589	41.91413608	13.42299789	0.763784019	0.3202499
R01-039	943957941	1440365511	-7288.748768	-971	-820	-8	497	-423.4285297	-450	607	1468	279.2525594	238.9305348	525.2907885	310.867645	0.088880035	1.586848489	96638.69271	17543	9575.907389	5220.031738	2690.080013	0.280921682	0.810660263	0.038721949	0.532741654	1.233562377	128.660846	24.18593304	15.74224111	0.945420062	0.650884177
R01-040	1068136978	1059075025	-69855.42897	-1024	-541	93	377	-98.28237677	-1	165	1401	187.1588102	103.4891381	268.5566717	249.9265098	-1.634418546	4.728999059	62463.2603	610780	23615.43503	14684.35364	4502.037786	0.19063963	0.884176475	0.044106979	0.691220909	1.130995936	133.4631928	31.33160395	24.76261906	0.955401835	0.790339974
R01-041	400239973	369484228	-2265.758261	-1024	-747.7	49.4	387	-360.7163774	-378.5	472.25	1411	248.0409007	189.4930648	465.8861201	294.8449965	0.037087216	2.109611069	86933.57194	4980	2389.898936	1702.301025	1380.249913	0.577534846	0.626295686	0.026294687	0.245662157	1.596689907	78.03135012	25.96930981	7.119295353	0.612400191	0.274142648
